ESA Study 11340/95/NL/CN UV - Cross-Sections in the UV and Visible

*O3 ABSORPTION CROSS-SECTIONS AT 223 K*
*1000 mbar total pressure*

S. Voigt, J. Orphal, and J. P. Burrows
University of Bremen - Institute of Environmental Physics
P. O. Box 33 04 40
D-28334 Bremen, Germany
Tel. + 49 (0)421 218 3526	
e-mail: Susanne.Voigt@iup.physik.uni-bremen.de

Date:			April 1998
1. column title:	wavelength (vacuum)
1. column unit:		nm
2. column title:	wavenumber (vacuum)
2. column unit:		cm-1
3. column title:	absorption cross-section 
3. column unit:		cm2/molec
4. column title:	error absorption cross-section 
4. column unit:		cm2/molec

Wavelength range:	230 - 850 nm
Wavenumber range:	11752 - 43315 cm-1
Spectral Resolution:	5 cm-1 
Number of data points in file:	19919

EXPERIMENTAL
Cell:	Multiple reflection quartz cell (White optics)
	optical pathlength 505 cm/120 cm (single path without White
	optics)
	
Spectrometer:	BRUKER IFS 120HR Fourier-Transform-Spectrometer

Wavenumber Range	Light Source		Detector
----------------	------------		--------	
29500-43500 cm-1	Xe lamp			UV diode
20000-33000 cm-1	Xe lamp			GaP diode
12000-25000 cm-1	QTH lamp		Si diode

Note: Spectral Regions are cutted and concatenated at 22000 cm-1,
31000 cm-1 and 33000 cm-1.


 850.91211    11752.095     8.969E-23     2.960E-24
 850.77254    11754.023     8.828E-23     2.913E-24
 850.63301    11755.951     8.633E-23     2.849E-24
 850.49346    11757.880     8.591E-23     2.835E-24
 850.35402    11759.808     8.471E-23     2.795E-24
 850.21456    11761.737     8.252E-23     2.723E-24
 850.07521    11763.665     8.010E-23     2.643E-24
 849.93584    11765.594     7.752E-23     2.558E-24
 849.79658    11767.522     7.563E-23     2.496E-24
 849.65730    11769.451     7.461E-23     2.462E-24
 849.51814    11771.379     7.458E-23     2.461E-24
 849.37895    11773.308     7.416E-23     2.447E-24
 849.23988    11775.236     7.119E-23     2.349E-24
 849.10078    11777.165     6.906E-23     2.279E-24
 848.96180    11779.093     6.924E-23     2.285E-24
 848.82279    11781.022     6.727E-23     2.220E-24
 848.68390    11782.950     6.547E-23     2.161E-24
 848.54499    11784.879     6.589E-23     2.174E-24
 848.40619    11786.807     6.352E-23     2.096E-24
 848.26743    11788.735     6.091E-23     2.010E-24
 848.12866    11790.664     6.229E-23     2.056E-24
 847.98999    11792.592     6.223E-23     2.054E-24
 847.85130    11794.521     6.040E-23     1.993E-24
 847.71273    11796.449     6.031E-23     1.990E-24
 847.57413    11798.378     5.875E-23     1.939E-24
 847.43565    11800.306     5.629E-23     1.858E-24
 847.29714    11802.235     5.647E-23     1.864E-24
 847.15875    11804.163     5.695E-23     1.879E-24
 847.02033    11806.092     5.629E-23     1.858E-24
 846.88203    11808.020     5.483E-23     1.809E-24
 846.74371    11809.949     5.273E-23     1.740E-24
 846.60550    11811.877     5.243E-23     1.730E-24
 846.46726    11813.806     5.312E-23     1.753E-24
 846.32914    11815.734     5.243E-23     1.730E-24
 846.19107    11817.662     5.279E-23     1.742E-24
 846.05296    11819.591     5.327E-23     1.758E-24
 845.91498    11821.519     5.072E-23     1.674E-24
 845.77697    11823.448     4.817E-23     1.590E-24
